S1,S2,SCORE
A baby is splashing inside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,4.4
A young boy is jumping out of the water,A young boy is jumping into water,3.5
A group of people are dancing in a show,A group of people are marching,2.3
A man is emptying a container made of plastic,A man is carelessly holding a frog,1.1
The man is removing sliced cucumbers from water,The man is dropping sliced cucumbers into water,3.6
The kids are chasing each other in the sand,The kids are not chasing each other in the sand,4.3
A large group of cheerleaders is walking in a parade,"The cheerleaders are not parading and are not wearing black, pink and white uniforms",3.5
"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small","Two toddlers are eating corndogs in a wagon, which is really small",4.8
The soccer player is kicking the ball between somebody's legs,A person is kicking a ball for a soccer game between somebody's feet,4.2
A brown and white dog is running through the tall grass,A brown and white dog is moving through the wild grass,4.4
A fish is hunting for a turtle in the sea,The turtle is following the fish,3.5
The women are not dancing outside,A group of people are dancing,3.3
A man is performing tricks with a soccer ball,A man is running away from the soccer ball,3.1
A man is slicing onions,A man is cutting onions,4.9
A man is slicing bread,A person is slicing a piece of bread,4.4
There is no snowboarder jumping off the snow,The snowboarder is jumping off a snow covered hill,3.7
A dog is standing with its two front paws on a rock in a field,The dog is standing with its two front paws on a rock in the field,5
A yellow dog is running on white snow on a sunny day,"A dog, which is tan, is running through the snow",3.8
A little boy is running on the ground and playing with a little girl,The little boy is running on the ground and playing with a little girl,4.8
A man is sharpening a knife,There is no man carrying a woman,1.3
The man is chopping the trunk of a tree with an axe,The man is chopping a tree trunk with an axe,4.9
Someone is scratching the belly of an animal,Someone is scratching the back of an animal,4
Two dogs are running through water,Two dogs are running through high grass,3.335
The soccer player is kicking the ball between somebody's legs,A person is kicking a soccer ball between their feet,3.9
A group of people is on a beach,Four people are walking on the beach,4.6
A woman is sitting and looking at the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,2.5
Two men are battling,Two men are fighting,4.8
A soccer player is being tackled by his opponent,Some people playing rugby are tackling each other,2.6
The man is playing an acoustic guitar,There is no man playing the guitar,4.2
"A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor",A small guinea pig is gnawing and eating a piece of carrot on the floor,4.8
There is no man playing a flute,A man is playing a flute,3
A man is running,There is no man running down the road,3.6
Someone is banging the lens of a camera against a nail,Someone is banging a camera lens against a nail,4.9
The men are putting suitcases into the trunk of a car,The men are placing suitcases in the trunk of a car,4.9
A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,3.1
There is no man fixing a silencer to a gun,A man is fixing a silencer to a gun,4
A young child is riding a bike on a rough dirt path,The young boy is riding a dirt bike through the mud,3.8
A woman is cutting a white onion,A woman is cutting an onion,4.4
A man is playing a flute,A flute is being played by a man,4.8
There is no woman dancing in a cage,The woman is dancing,3.4
A brown dog is running in the snow,A dog is running through the white snow,4.3
A few animals are playing in the water,Nobody is playing ping pong,1
A man is rinsing a large steak,A man is rinsing a large piece of meat,4.6
A guy is mowing the lawn,There is no man mowing grass,3.8
A dark black dog and a light brown dog are playing in the backyard,A black man is running in brown grass and racing a dog,2
The man is talking on the telephone,The man is speaking on the telephone,4.9
A truck is quickly going down a hill,A truck is quickly going up a hill,4
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A crowd of people is near the water,1.3
A woman is deboning a fish,A big fish is catching a man,1.9
The man is not doing exercises,Two men are fighting,2.3
A seabird is slowly flying over some rocks,A seabird is flying over some rocks,4.7
A tennis player is lunging to the left,A tennis player is jumping to the left,4.4
A child is walking down the street and a jeep is pulling up,A child is walking down the street and a jeep is stopping,4.4
There is no man spraying a super soaker into the mouth of a dog,A man is squirting water into the mouth of a white dog with a squirt gun,2.9
A boy is filling a pitcher with water,A pitcher is being filled with water by a boy,5
Two dogs are running and trying to catch a soccer ball,Two cats on a lawn are playing with a plastic toy,2.2
Two children are playing in the surf,Two children are playing,4.6
Three boys are resting on rocks along a river,The men in brown shorts are walking on the rocks beside a river,2.8
A little black dog is chasing a little brown dog,A brown dog and a black dog are in the grass,3.4
A man is slicing a bun,A man is slicing a tomato,3.6
A cat is crawling under a piece of furniture,There is no cat sliding upside down under a couch,3.1
There is no man screwing a piece of wood to a wall,A man is screwing a piece of wood to a wall,3.5
A talk about an adult and a boy is given in the amphitheater,An adult is in the amphitheater and is talking to a boy,3.1
A football player is running past an official carrying a football,A football player is carrying an official past a rolling football,4.1
A white car is being driven by the man,An interview is being granted by the man,1.45
Two people are sitting comfortably on the bench,A man is playing soccer,1.2
A man is playing keyboards,A man is not playing keyboards,3.85
A woman is not boiling shrimps,A woman is combing her hair,1.5
A girl in a strange outfit is riding the bike,A bike is being ridden by a woman wearing paint and costume pieces on a busy street,3.9
Two dogs are running through the beach,Two dogs are running through the park,3.2
The black dog is walking along a tree trunk bridge over water,There is no dog crossing a river on a bridge made from a fallen tree,4.1
A man is cutting a potato,There is no man cutting a potato,3.6
A person on a yellow bike is airborne,A cyclist on a yellow bike is airborne,4.9
A man is opening a box with a knife,There is no man opening a box with a knife,3.8
Two men are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.3
The man is singing heartily and playing the guitar,A bicyclist is holding a bike over his head in a group of people,1
The boy is studying a calendar,A boy is studying a calendar,5
A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,4.4
A person is burning some cameras with a blow torch,A person is repairing some cameras with a blow torch,3.6
A man is sitting on a train and resting his hand against his face,The hairy man is sitting on a train,3.2
The man in the straw hat is smoking a cigarette,A cigarette is being smoked by the man in the straw hat,5
A big green ball is knocking a potato,A large green ball is missing a potato,3.5
The black dog is running through the grass,The black dog is walking through the tall grass,4.2
A big potato is knocking a green ball,A big green ball is knocking a potato,3.5
A little boy is sticking his tongue out for the camera and another boy is looking on,Two kids are looking up at the camera and one is sticking out his tongue,4.4
A man is spraying a super soaker into the mouth of a dog,There is no man squirting water into the mouth of a white dog with a squirt gun,3.1
An elephant is being ridden by a woman,A woman is opening a soda and drinking it,1
A woman is looking down and is wearing a wedding dress,A woman is looking down and is wearing a wedding veil,4.5
A band is performing on a stage,A band is playing onstage,4.9
A child is playing slip and slide in the grass,A child is splashing in a pool for children and other kids are playing in the background,2.6
A person is absently cutting mushrooms with a knife,A person is cutting some mushrooms,4.2
"A dog, which is small, is playing tirelessly on the green grass","A dog, which is small, is playing on the green grass",4.7
The woman is frying a breaded pork chop,A woman is cooking a breaded pork chop,4.7
The little boy is singing and playing the guitar,A guitar is being played by a baby,3.5
The woman is poking a potato,There is no man riding a motorcycle,1.1
A child is playfully swimming underwater in a pool,A child is smiling at the camera and swimming underwater,4.1
The girl is sitting on the couch and is crocheting,There is no girl playing the violin on a beach,1.4
The singer is playing the guitar at an acoustic concert for a woman,"The woman is playing a guitar, which is acoustic, and singing",3.9
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,4.4
An elder man is sitting on a bench and is wearing a gray jacket and black pants,An elderly man is sitting on a bench,4.5
A person is looking at a bike designed for motocross that is lying on its side and another is racing by,A person is looking at a motocross bike that is lying on its side and another is racing by,4.5
"Two women with folded arms, who are young, are looking at the screen",Two women with black hair are standing in front of a plywood wall,2.5
A surfer is riding a big wave across dark green water,The surfer is riding a big wave,4.4
A man is dancing,A man is speaking,1.7
Two women are happily dancing,Two women are dancing,4.6
The man is cutting cooked octopus,The woman is cutting cooked octopus,3.8
A woman is talking to a man,A woman is cracking eggs,1.6
A cat is playing with a device,Mud is being thrown to the playing boy,1.2
A man is spreading butter on a piece of bread which is big,"A piece of bread, which is big, is having butter spread upon it by a man OR A piece of bread, which is big, is being spread with butter by a man",4.7
A guinea pig is devouring a carrot,A guinea pig is eating a carrot,5
Two women with black hair are standing in front of a plywood wall,Two young women with folded arms are looking away from the screen,2
A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,4.6
A dirty soccer ball is rolling into a goal net,A soccer ball is rolling into a goal net,4.5
A dog has its head outside a red and green gift bag,A dog has its head inside a red and green gift bag,3.1
The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,3.6
A soccer player is scoring a goal,There are no soccer players kicking a soccer ball into the goal,2.9
A dog is pushing a toddler into a rain puddle,A dog is pushing a toddler into a puddle of rain,4.9
"The man and the boy are standing at the bottom of the stairs, which are outdoors",An adult is in the amphitheater and is talking to a boy,1.8
A yellow dog is stopping on white snow on a sunny day,A yellow dog is running on white snow on a sunny day,3.5
The man is skillfully playing the guitar,The man is playing a guitar,4.5
A man and a woman are shaking hands,Two persons are shaking hands,4.7
Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone,A group of people is not walking down the street and a person in a green hat is on the phone,3.7
A tennis player in mid game is holding a racquet,A racquet is being held by a tennis player in mid game,4.8
A man is loading a rifle with bullets,A woman is seasoning a ham,1
A black dog is running in the snow,A dog is running through the snow,4.5
Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,3.7
A man is playing a guitar,There is no man playing a guitar,4.285
The blonde girl with the pink top is smiling and wearing funny glasses with a large nose attached,A little girl is smiling and wearing a fake nose and glasses,4.1
A dog in the yard is running across colored coats,A brown and black dog is running through the leaves,2.6
A man is being curiously looked at by a woman,The man is standing on a rocky mountain and gray clouds are in the background,1.2
Boys are dancing in front of some people,A funny crowd of people is doing a skit of two boxing men,1.4
A man is playing flute,A man is playing soccer,1.7
Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,4
A man is being curiously looked at by a woman,"A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background",2.7
A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,2.4
A man is watering the grass and excitedly playing with a dog,A dog is excitedly playing with water in the grass,3.5
The man is slicing some potatoes,The man is slicing potatoes,5
A man is slicing a potato into pieces,A man is cutting a potato,4.7
A guy is not riding a horse,A man is riding a horse in the desert,3.6
"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass","A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",3.1
A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.4
A cheetah is quickly running behind its prey.,A prey is quickly running behind the cheetah,3.6
A child is playing with a water spout outdoors and the rest of his family is watching,A man is standing beside a birdcage which is large and colorful,1.4
The lady is picking up the kangaroo,The woman is picking up the kangaroo,4.9
A man is playing a flute,There is no man playing a flute,4
A dog is chasing a ball,There is no dog chasing a ball,3.6
The motocross rider is wearing blue and black pants,"A biker with a blue jacket, black pants and a white helmet is driving recklessly on dirt and people watch",3.3
A man with no shirt is jumping over a log,A guy is leaping into the air in a wooded area,3.6
The man is doing a wheelie with a motorcycle on ground which is mostly barren,There is no child holding a squirt gun,1.4
A man is sprinkling seasoning on several sliced and buttered loaves of bread,A man is removing the garlic from some slices of bread,2.9
A young girl is standing on one leg,A young girl is dancing,2.7
The crowd is not watching two racing cars that are leaving the starting line,The crowd is watching two racing cars that are leaving the starting line,3.5
There is no man screaming,A man is crying,2.1
Two boys in white outfits and red protective gear are sparring on a mat,Two children in white outfits and red protective gear are sparring on a mat,4.3
A small brown and white spotted dog is lying on a jacket on the street,The dog is having a rest in the park,3
A man is singing and playing a guitar,Someone is singing about a man who plays the guitar,3.5
A baby is laughing,A baby is crying,3.1
A man in a hat is standing outside of a green jeep,A man is standing on a black jeep on a dirt hill,2.4
A baby is sneezing and scaring another baby,A baby is cheering another baby,3.3
A little girl is smiling and running out of the house,A girl in a white dress is running,3.7
A woman is painting a man's face,A man's face is being painted by a woman,4.9
The trumpet is being played by a man,A man is playing the trumpet,4.7
The snowboarder is jumping off a snow covered hill,A snowboarder is jumping off the snow,4.165
A woman is being massaged by a man,A man is screwing a piece of wood to a wall,1.1
A girl is styling her hair,A girl is messing up her hair,3.2
The men are packing suitcases into the trunk of a car,The men are not packing suitcases into the trunk of a car,4.4
One person is riding a bicycle in the sand beside the ocean,A person is riding a bicycle in the sand beside the ocean,4.7
There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,4
A man is standing shirtless in the street,A man is wearing a long sleeved blue shirt and jeans and is riding a unicycle down a street,2.3
Three men are jumping off a wall,"Three young men are running, jumping and kicking near a vending machine",2.7
A kid is playing the piano,A kid is playing the guitar,3
A young man with brown hair and shades is sitting in front of some cans of soda,A young man with brown hair and sunglasses is sitting in front of some cans of soda,5
Two men are walking through the water,Two men are swimming in deep water,3.9
A woman is playing with a brown dog in a garden,A woman is petting a dog near a stone path,3.1
The man is not kick boxing with a trainer,The man is kick boxing with a trainer,3.7
No people are riding camels at the beach,People are riding two camels at the beach,3.7
A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,2.5
Some meat is being stitched together by a woman,A lady is cutting up some meat,3.5
A man is spraying a super soaker into the mouth of a dog,A man is squirting water into the mouth of a white dog with a squirt gun,4
A man is playing the drums,Guitar is being played by a man,3.415
A man is rising from a swamp,A person is coming out of the water,3.6
A young girl is playing on the edge of a fountain and an older woman is not watching her,A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,2.4
Two teammates are lifting a football player in a red and white uniform,Football players in red and white are jumping and hugging each other,3.7
A girl in gold and purple is holding a rainbow afghan,A man is squatting in brush and taking a photo,1
A man is talking,A man is spitting,2.285
A woman is not frying meat,A woman is placing food in a pot of hot water,3.4
The guitar is being played by the man,The man is a guitar player,4.8
A man is playing guitar,A woman is playing the drums,2.6
A person is brushing a cat,A person is combing the fur of a cat,4.6
Tofu is being sliced by a woman,A woman is slicing tofu,5
There is no woman cleaning a shrimp,Someone is cleaning an animal,2.6
The woman is wearing a red jacket and holding a glass in front of the man in a white t-shirt,The woman is holding a white jacket and a red glass in front of the man wearing a t-shirt,3.5
Bread is being sliced by the man,The woman is slicing herbs,1.8
Two dogs are cheerfully playing together on the grass,A big dog and a small white dog are playing together,4.1
Two people are driving a jeep and a lady is sitting on the top of it,A blond woman is sitting on the roof of a yellow vehicle and two people are outside,2.5
A girl in a brown dress is being surrounded by children and is closing her eyes,The sun is not shining on the face of the girl who is in a yellow dress,1.9
A baby is not playing a guitar,The little boy is singing and playing the guitar,3.6
A woman is playing the keyboard and a man is dancing,A woman is dancing on a stage,3
A girl is standing in a group and is wearing a black shirt and pink beads,A girl has black and orange patches on the cheeks,2
A tan dog is splashing in the water on the bank of a pond,A light brown dog is sprinting in the water,2.9
The man is dancing,Three women are standing still,1.7
A person on a bike is in the air near a body of water,A man on a green car is performing tricks on a dirt ramp,2
A man is skateboarding on a half pipe,A skateboarder is falling off a half pipe,3.6
A child is splashing in a pool for children and other kids are playing in the background,A child is splashing in a pool for children and other children are playing in the background,4.9
A group of students in uniforms is listening attentively at the front of the class,A group of students in uniforms is ignoring the front of the class,3.2
A man is walking in a yard,A man is walking outside,4.1
A dog which is furry and black is in a back yard and is carrying a basket in its mouth,There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.7
A man is reloading a shotgun,A man is firing a shotgun,3.7
A person is pouring olive oil into a pot on the stove,A person is pouring cooking oil into a pot,4.2
The motocross rider is wearing blue and black pants,Blue and black pants are being worn by the motocross rider,5
The man is playing a piano,There is a guy cheerfully playing with a footbag,1.5
A tiger is walking around aimlessly,A tiger is walking around a cage,3.9
A girl with red hair and red eyebrows is talking,A girl with red hair and red eyebrows is in midspeech,4.6
A little girl is playing a grand piano on stage,A little girl is playing the piano,4.4
A waterfall is flowing into a shallow pool,"The people are walking on the road beside a waterfall, which is beautiful",2.5
A girl is applying makeup to her face,A woman is putting on makeup,3.5
A cat is playing keyboards,A cat song is being played on a piano,2.9
A person in a pink jacket is running onto the field,A person in pink is running onto the field,4.4
A boy is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is playing in front of a water fountain,3
There is no brown duck with a green head flapping its wings in the water,A brown duck with a green head is flapping its wings in the water,3
A man is climbing a rope,The man is not climbing up a rope,2.9
The man is erasing the drawing on the board,The girl is erasing the other man's work from the board,3.6
A woman is not frying some food,A woman is frying some food,3.6
A brown dog is staring attentively at a brown and white dog,The little dog is dropping the bedroom slipper from its mouth,2.4
A football player in a red and white uniform is being lifted by two teammates,Some football players in red and white are jumping and hugging,3.7
A man on a motorcycle is riding on one wheel,A person is performing acrobatics on a motorcycle,4.1
The black llama is curiously looking at the white dogs,The white dogs are looking curiously at the black llama,4.1
A large dog is running on the grass with a tennis ball in its mouth,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,3.8
A boy is playing on a toy phone,A boy is playing on a toy,4.6
A person is passionately playing a guitar in front of an audience,A woman is peeling a potato,1
A young child is wearing a white coat and playing a game,The child is playing with toys indoors,3
A person is not performing tricks on a motorcycle,A man on a motorcycle is riding on one wheel,3.7
A boy and a girl in swimsuits are wearing arm floats,The boy and the girl are playing and wearing arm floats,4.4
A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,4.1
The man is carelessly smearing butter on a slice of garlic bread,The man isn't smearing butter on bread ,3.7
A man is drawing some figures,A person is drawing some figures,4.6
A man is standing in the middle of a gym and is wearing a jersey,There is no man standing in the middle of a gym and is wearing a jersey,3
There is no woman pouring ingredients into a bowl,A woman is pouring ingredients into a bowl,4
The girl is painting a coverall blue,The lady is holding the paintbrush next to the artist's easel ,2.4
A man is mixing,A man is not mowing a lawn,1.9
A big green ball is knocking a potato,"A ball, which is green and big, is knocking a potato",4.9
A brown puppy is gnawing a wooden post that is stuck into the ground,A brown puppy is gnawing a metallic post that is stuck in the ground,4.1
The person is dicing up a pepper which is orange,The orange colored dices are being cast by a cook to win the pepper,2.9
A big cat is opening a plastic drawer with its paws and is jumping inside,A small cat is opening a plastic drawer with its paws and jumping inside,3.9
The woman is walking the dog,A woman is restraining the dog,3.6
A brown and white dog is running through the river,An animal is emerging from a lake,2.5
Two boys and a man are playing games at an arcade,Two kids and a man are playing games at an arcade,4.6
A boy is hanging a fishing rod and running in front of a fish ,A boy is hanging a rod for fishing and running in front of a fish,5
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,3.4
A lady is surfing and riding a wave,A blonds girl is surfing,3.6
A young child is walking with a bike on a rough dirt path,A young boy is riding a dirt bike through the mud,3.4
A bird is resting its wings in the water,A bird is flapping its wings on the water,3.7
The man on stage is singing into the microphone,The man on stage isn't singing into the microphone,3.5
There is no surfer riding the wave,A man is performing a trick on a surfboard in the water,3
One white dog is staring at the black street,Two dogs of different breeds are looking at each other across a street,3.4
Two white dogs are playing with a brown dog and a tennis ball,Two white dogs and one brown dog are chasing a ball,4
The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air,3.9
A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,3.8
The white dog wearing reindeer ears is near a brown dog,The white dog is not wearing reindeer ears and isn't near a brown dog,3.6
A white dog is standing in a lake,A brown dog is standing in a lake,3.4
Some bells are ringing near a cook slicing peppers,A cook is slicing some bell peppers,3.1
A child in clothing which is light colored is standing with his arms extended outward,A child in light colored clothing is standing with his arms extended outward,5
Two dogs are running through high grass,Two animals are running through high grass,4.8
A white bike and a yellow bike are racing down the track,Two race cars are on a road in front of a grassy parking area,1.9
A woman is tailing a pony near a rock climbing wall,"A man with equipment used for climbing is hanging from a white, vertical rock.",1.8
The cat is hungrily drinking milk,A lick of milk sauce is being given to the cat,3.7
A person is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a sword,4
A man is talking on the radio,A man is spitting,1.7
A hose is being held by a boy next to a man and another boy is watching,A boy is holding a hose next to a man and another boy is watching,4.9
A woman is cutting an onion,There is no woman cutting an onion,3.5
A boy is saying a word,There is no baby talking,2.2
The woman is stirring eggs in a bowl,The woman isn't stirring eggs in a bowl,3.9
A woman in a yellow dyed shirt is surfing on a pink surfboard,A surfer is riding the wave,3.5
A dog is playing alone on the shore covered by snow,A dog is walking along a snowdrift,3.6
The woman is pouring oil into the pan,Oil is being poured into the pan by the woman,5
A brown duck with a green head is flapping its wings in the water,A bird is flapping its wings on the water,4.3
Someone is reading the email,Someone is not reading the email,4.1
A brown dog is looking closely at a brown and white dog,A brown dog is staring attentively at a brown and white dog,4.8
A man is playing an electronic keyboard,An electronic keyboard is being played by a man,4.9
There is no clown singing and people are not dancing,A clown is singing,3.9
A tan dog is running through the snow,"A dog, which is tan, is running through the snow",4.9
A person is tearing paper,A person is tearing sheets,3.7
Five adults are sitting on stone steps,People are sitting near a wall,3
A man is massaging a woman,A man is screwing a piece of wood to a wall,1.3
A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,The young girl is playing on the edge of a fountain and an older woman is watching her,3.3
A rocky wall is climbed by a man in a purple hat with bare hands,The young man is rock climbing,4.2
Two men are taking a break from a trip on a snowy road,Two men with cars are on the side of a snowy road,4
A woman is slicing a tomato,The woman is peeling a potato,3.3
The man is not cutting the tape on the box,A man is cutting a box,3.1
The cat perched on the table isn't looking out the window,The cat perched on the table is looking out the window,3.7
A man is reading an email,There is no man reading an email,3.7
A man is opening a box with a knife,A man is using a knife to open a box,4.835
A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,2.9
Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone,A group of people is walking down the street and a person in a green hat is on the phone,4.7
Somebody is cutting a tomato,Someone is cutting a tomato,5
A kid in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach,3.4
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",5
A man on a yellow sport bike is doing a wheelie and a friend on a white bike is catching up,A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,4.1
A woman is playing an electric guitar,A kid is playing guitar,3
Soccer players are kicking a soccer ball into the goal,A soccer player is missing a goal,3.1
There is no child playing with a water spout outdoors with the rest of his family watching,A child is playing with a water spout outdoors and the rest of his family is watching,3.1
Two people are riding a motorcycle,Nobody is riding a bike,2.5
A dog is opening a drawer and climbing inside,A cat is opening a drawer and climbing inside,4.1
A person is quickly chopping mushrooms with a knife,A man is rapidly chopping some mushrooms with a knife,4.7
A girl is playing a guitar,A boy is playing a guitar,4
The little girl is swinging and the woman is standing behind her,A small child is showing excitement on a swing set at the park,2.9
A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,3.8
A man is sitting on a train and resting his hand against his face,The bearded man is not sitting on a train,2.1
A brown dog is running breathlessly across the yard with a toy in its mouth,A brown dog is running across the yard with a toy in its mouth,4.5
A man is playing a flute,A man is not playing a flute,4.2
A man is stopping in the middle of a road,A man is walking down a road,3.2
A man is standing beside a large and colorful birdcage,The man is sitting next to a birdcage,3.2
Four dogs are playing in a grassy area,Four dogs are not playing in a grassy area,2.9
The woman is stirring meat in a bowl,A lady is mixing a mixture of meat in a bowl,4.7
A man is playing a wooden flute,A man is playing the piano,3
A woman is taking a mixture out of a bowl,A woman is preparing an egg in a skillet,2.7
A man is pouring a plate of shredded cheese into a pot of sauce,A man is pouring a pot of cheese sauce into a shredded plate,3
A great singer is dancing on the ceiling,A child is making a snow ball,1
A man is cutting an onion,An onion is being sliced by a woman,3.8
A dog is being teased by a monkey at the zoo,A monkey is pulling a dog's tail,4.3
A person is eating in a restaurant,A person is making a bed,1.2
A boy is sitting in a seat,A toddler is sitting in a seat,3.7
A black man is skillfully break dancing on the pavement,A black man is break dancing on the pavement,4.7
A man is fishing in the river,There is no man fishing in the river,3.5
A man is outside and is throwing blades at a close target,The man is hurling knives at a tree,3.5
The girl is trotting on the horse,A man on a motorcycle is not riding on one wheel,1
Someone is playing piano,Someone is not playing piano,3
There is no man playing a guitar,A man is playing a piano,3.2
The dark skinned male is standing on one hand in front of a yellow building,The dark skinned male is not standing on one hand in front of a yellow building,4
"A girl, who is little, with blond hair is smiling and sitting on a swing",A little girl with blond hair is smiling and sitting on a swing,4.8
The singer is playing the guitar at an acoustic concert for a woman,A person is playing a guitar and singing,3.9
The large brown dog is running outside in the dirt,A dog is running alongside a fence on a dirt track,3.9
There is no dog running up a grassy hill,A dog is running up a grassy hill,3.6
A bull dog is being brushed by the monkey,The monkey is brushing a bull dog,4.8
A tiger is not walking around,Some people are walking,1.7
Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,3.2
A woman is beating two eggs in a bowl and using a whisk made of wire,Eggs are being strongly whisked in a bowl by a person,4.3
Little boys are playing in a water fountain in front of lots of people,Children are playing in a fountain that is spraying water from the ground,3.7
A person is not stirring vegetables in a pot,A man is mixing vegetables in a pot,3.7
A man is ignoring a girl via an internet camera,A boy in his teens is talking to a girl with a webcam,3.2
A woman is wearing sunglasses of large size and is holding newspapers in both hands,The woman is wearing sunglasses of large size and is holding newspapers in both hands,5
"A child, who is small, is outdoors climbing steps outdoors in an area full of grass",A small child is outdoors climbing steps in a grassy area,4.9
A woman is putting on eyeshadow,A woman is putting make-up on,4.5
There is no man playing a piano,A man is playing a guitar,2.5
A man is jumping into an empty pool,A man is jumping into a full pool,3
"A woman is rock climbing, pausing and calculating the route",A man is rock climbing and a city and a bay are in the background,3.5
A boy is running through the grass,A boy is running through the sand,4
A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,2
A group of people is walking down the street and a person in a green hat is on the phone,Four people are walking along a city sidewalk and the one in the green hat is not talking on a cell phone,3.4
A woman is breaking two eggs in a bowl,Some ingredients are being mixed in a bowl by a person,3.3
A sitting man is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,3.7
There is no soccer player who is being tackled by an opponent,A soccer player is being tackled by his opponent,4.3
A little girl is smiling and running out of the house,A little girl is smiling and running outside,4.4
A woman and three men are denying a photo,Three men and a woman are posing for a picture,4
A woman is cutting some flowers,There is no woman cutting broccoli,2.3
A black shirt is being worn by a man who is sitting at the table and laughing,A man is sitting comfortably at a table,3.5
A tiger is walking outside a cage,A tiger is walking around a cage,4.4
There is no man praying,A man is praying,3.9
A young man is pushing a motocross bike down a dirt hill,A dog is swimming after a tennis ball,1
"A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk ",A woman is beating two eggs in a bowl and using a whisk made of wire,3.2
A woman is cutting an onion,A woman is slicing some meat,3
A small boy in a yellow shirt is laughing on the beach,There is no small boy in a yellow shirt laughing on the beach,2.3
A dog in a colored coat is running swiftly across the yard,A dog in a colored coat is running across the yard,4.3
A young oriental girl is standing above the crowd and is playing with a pinwheel,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair,2.6
A group of kids is playing on a colorful structure,There is no one climbing on the grotto with a pink interior,1.8
A little girl is playing the piano,There is no little girl playing a grand piano on stage,3.6
A dog is looking around,An animal is looking around,4.6
A dog is fetching a piece of wood out of very clear water,A small black and white dog is carrying a stick and is swimming,3.9
Two women are dancing and singing in front of many people,The women are singing and dancing,4.5
A woman is petting a dog near a stone path,A woman is playing with a brown cat on a garden path,3
A man is punching a soccer ball,A man is mixing the content of a bowl,1.2
Two men are fighting,Some men are fighting,4.4
There is no woman deep frying food,A woman is deep frying food,3.1
There is no man dancing,A man is singing,2.9
A man on a bicycle is riding on the beach,A man on a bike is riding on the shore,4.6
"A girl, who is little, is playing a grand piano on stage",A little girl is playing a grand piano on stage,4.8
The lady is peeling the potato,A woman is not peeling a potato,4.2
A person is performing tricks on a motorcycle,A man on a motorcycle is not riding on one wheel,3.6
The violin is being played by a woman,A man is playing the piano,2.7
A young girl in a blue leotard is jumping in the air,The young girl in blue is jumping in the air,4.3
The woman is waterskiing,The woman is not waterskiing,4.1
A dog is turning on the grass and pursuing a flying tennis ball,A dog is turning on the grass and pursuing a flying ball,4.7
Someone is playing piano,A keyboard is being played by a person,3.8
The guitar is being played by the man,The guitar is being played by nobody,3.9
A man is jumping rope outside,A woman is not slicing a cucumber,1
